City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kota Kinabalu,MY,5.9749,116.0724,78.78,83,20,4.61,few clouds
1,Ust-Nera,RU,64.5667,143.2,-26.1,100,80,4.5,broken clouds
2,Talnakh,RU,69.4865,88.3972,-2.79,95,100,24.07,light snow
3,Lompoc,US,34.6391,-120.4579,73.54,43,0,13.8,clear sky
4,Vaini,TO,-21.2,-175.2,82.56,74,20,13.8,few clouds
5,Ilulissat,GL,69.2167,-51.1,19.42,79,75,5.75,light snow
6,Ushuaia,AR,-54.8,-68.3,51.46,46,40,13.8,scattered clouds
7,Avarua,CK,-21.2078,-159.775,77.05,83,75,14.97,broken clouds
8,Okha,RU,53.5739,142.9478,14.99,87,73,6.11,broken clouds
9,Jamestown,US,42.097,-79.2353,30.18,70,100,9.22,mist
10,Saskylakh,RU,71.9167,114.0833,-32.33,100,89,3.0,overcast clouds
11,Bluff,NZ,-46.6,168.3333,58.8,89,100,9.35,overcast clouds
12,Bonfim,BR,3.0833,-59.95,85.14,59,99,3.65,light rain
13,Rikitea,PF,-23.1203,-134.9692,72.37,84,100,4.9,light rain
14,Atuona,PF,-9.8,-139.0333,78.04,75,66,14.85,broken clouds
15,Tuatapere,NZ,-46.1333,167.6833,54.77,94,100,3.6,overcast clouds
16,Khatanga,RU,71.9667,102.5,-20.58,89,100,8.41,overcast clouds
17,Ostrovnoy,RU,68.0531,39.5131,37.58,79,100,14.83,overcast clouds
18,Henties Bay,NA,-22.116,14.2845,59.63,90,68,5.19,broken clouds
19,Nikolskoye,RU,59.7035,30.7861,28.29,88,9,5.46,clear sky
20,Tuktoyaktuk,CA,69.4541,-133.0374,24.8,74,75,11.5,broken clouds
21,College,US,64.8569,-147.8028,20.59,87,0,0.0,clear sky
22,Ewo,CG,-0.8725,14.8206,71.37,91,99,2.46,overcast clouds
23,Victoria,HK,22.2855,114.1577,75.33,88,0,5.99,clear sky
24,Puerto Ayora,EC,-0.7393,-90.3518,69.55,88,73,5.99,broken clouds
25,Santiago Del Estero,AR,-27.7951,-64.2615,91.26,23,18,10.67,few clouds
26,Cape Town,ZA,-33.9258,18.4232,60.91,73,0,9.22,clear sky
27,Albany,US,42.6001,-73.9662,35.46,60,35,1.99,scattered clouds
28,Tabory,RU,58.5198,64.5495,-3.89,92,5,4.56,clear sky
29,Kapaa,US,22.0752,-159.319,82.72,72,40,14.97,scattered clouds
30,Zyryanka,RU,65.75,150.85,-18.72,98,100,10.38,overcast clouds
31,Castro,BR,-24.7911,-50.0119,58.66,61,1,7.11,clear sky
32,Lagdo,CM,9.05,13.7333,74.97,31,39,1.45,scattered clouds
33,Faya,SA,18.3851,42.4509,57.31,73,1,1.03,clear sky
34,Nemuro,JP,43.3236,145.575,38.77,69,20,14.29,few clouds
35,Butaritari,KI,3.0707,172.7902,80.58,76,58,15.95,broken clouds
36,Olafsvik,IS,64.8945,-23.7142,44.85,84,60,18.14,broken clouds
37,Sitka,US,57.0531,-135.33,44.49,70,20,4.61,few clouds
38,Mataura,NZ,-46.1927,168.8643,58.48,75,100,2.48,overcast clouds
39,Richards Bay,ZA,-28.783,32.0377,71.76,95,100,2.42,overcast clouds
40,Dingle,PH,10.9995,122.6711,76.68,94,100,8.81,light rain
41,Sur,OM,22.5667,59.5289,74.41,70,4,7.72,clear sky
42,La Ronge,CA,55.1001,-105.2842,10.65,67,100,3.44,overcast clouds
43,Vila Franca Do Campo,PT,37.7167,-25.4333,59.2,74,13,6.31,few clouds
44,Lebu,CL,-37.6167,-73.65,59.49,87,100,9.55,light rain
45,Mikun,RU,62.3547,50.0771,8.08,97,63,3.78,broken clouds
46,Crowley,US,30.2141,-92.3746,50.09,64,58,7.76,broken clouds
47,Arlit,NE,18.7369,7.3853,70.5,16,2,8.68,clear sky
48,Byron Bay,AU,-28.65,153.6167,69.94,56,1,5.99,clear sky
49,Vao,NC,-22.6667,167.4833,75.78,77,99,12.19,overcast clouds
50,New Norfolk,AU,-42.7826,147.0587,61.92,56,9,1.99,clear sky
51,Tasiilaq,GL,65.6145,-37.6368,33.96,77,87,3.06,overcast clouds
52,Punta Arenas,CL,-53.15,-70.9167,53.71,43,20,27.63,few clouds
53,Pevek,RU,69.7008,170.3133,-7.29,100,98,3.53,overcast clouds
54,Walpole,US,42.1418,-71.2495,41.92,60,24,5.01,few clouds
55,Verkhnevilyuysk,RU,63.4453,120.3167,-2.54,94,99,5.95,overcast clouds
56,Kankakee,US,41.15,-87.8667,33.51,81,100,16.11,overcast clouds
57,Sioux Lookout,CA,50.1001,-91.917,19.47,79,75,10.36,broken clouds
